,airline,departure,departureLat,departureLong,destination,destinationLat,destinationLong,layover,layoverLat,layoverLong,price,stops,travelTime
147,American Airlines,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,CLT,35.220448,-80.94377,223,1,8.2
148,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,239,1,6.48
149,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,239,1,7.38
150,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,239,1,7.48
151,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,239,1,7.58
152,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,239,1,8.07
153,United,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ORD,41.97707,-87.901184,264,1,8.72
154,American Airlines,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,CLT,35.220448,-80.94377,288,1,6.0
155,American Airlines,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,CLT,35.220448,-80.94377,288,1,6.83
156,American Airlines,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,CLT,35.220448,-80.94377,288,1,7.6
157,United,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,IAH,29.9872,-95.34774,307,1,6.08
158,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,307,1,6.38
159,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,307,1,6.43
160,United,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ORD,41.97707,-87.901184,307,1,6.45
161,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,307,1,6.47
162,United,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ORD,41.97707,-87.901184,307,1,6.88
163,United,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ORD,41.97707,-87.901184,307,1,7.72
164,American Airlines,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,CLT,35.220448,-80.94377,348,1,6.58
165,American Airlines,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,CLT,35.220448,-80.94377,348,1,6.63
166,American Airlines,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,CLT,35.220448,-80.94377,348,1,8.08
167,JetBlue Airways,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,BOS,42.36514,-71.01889,359,1,9.08
168,JetBlue Airways,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,BOS,42.36514,-71.01889,359,1,10.38
169,American Airlines,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,DFW,32.899193,-97.04005,370,1,6.32
170,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,399,1,5.0
171,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,399,1,5.38
172,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,399,1,5.9
173,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,399,1,6.0
174,United,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,IAD,38.95216,-77.44883,399,1,6.38
175,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,399,1,7.07
176,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,399,1,8.0
177,United,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,IAD,38.95216,-77.44883,426,1,7.63
178,United,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,IAH,29.9872,-95.34774,435,1,6.53
179,United,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,EWR,40.69297,-74.17799,435,1,7.65
180,United,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,EWR,40.69297,-74.17799,435,1,9.17
181,United,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,IAD,38.95216,-77.44883,517,1,6.13
182,Delta,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ATL,33.640545,-84.43341,597,1,6.75
183,Delta,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,ZZZ,40,-100,179,0,1.15
184,Delta,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,ZZZ,40,-100,179,0,1.18
185,Delta,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,ZZZ,40,-100,179,0,1.2
186,Delta,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,ZZZ,40,-100,179,0,1.2
187,Delta,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,ZZZ,40,-100,179,0,1.22
188,Delta,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,ZZZ,40,-100,179,0,1.33
189,Delta,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,ZZZ,40,-100,179,0,1.33
190,Delta,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,ZZZ,40,-100,179,0,1.4
191,Delta,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,ZZZ,40,-100,179,0,1.42
192,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,186,1,3.23
193,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,186,1,3.77
194,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,186,1,4.35
195,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,186,1,4.7
196,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,186,1,5.47
197,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,186,1,5.6
198,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,186,1,6.05
199,United,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,ORD,41.97707,-87.901184,214,1,7.57
200,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,224,1,3.6
201,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,224,1,5.1
202,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,224,1,5.27
203,JetBlue Airways,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,FLL,26.072435,-80.1436,232,1,8.05
204,Delta,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,ZZZ,40,-100,259,0,1.3
205,Delta,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,ZZZ,40,-100,259,0,1.3
206,United,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,IAH,29.9872,-95.34774,269,1,5.97
207,United,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,IAD,38.95216,-77.44883,272,1,4.23
208,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,278,1,4.17
209,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,278,1,4.55
210,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,278,1,6.05
211,United,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,IAD,38.95216,-77.44883,287,1,4.12
212,JetBlue Airways,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,JFK,40.645123,-73.78461,296,1,7.03
213,JetBlue Airways,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,BOS,42.36514,-71.01889,320,1,10.55
214,JetBlue Airways,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,BOS,42.36514,-71.01889,320,1,11.85
215,United,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,EWR,40.69297,-74.17799,342,1,9.73
216,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,355,1,4.9
217,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,355,1,6.52
218,JetBlue Airways,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,BOS,42.36514,-71.01889,382,1,7.17
219,United,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,IAH,29.9872,-95.34774,388,1,7.78
220,JetBlue Airways,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,JFK,40.645123,-73.78461,416,1,5.27
221,United,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,IAH,29.9872,-95.34774,428,1,5.83
222,American Airlines,CHS,32.885193,-80.03694,ATL,33.640545,-84.43341,CLT,35.220448,-80.94377,506,1,3.67
223,United,CHS,32.885193,-80.03694,EWR,40.69297,-74.17799,ZZZ,40,-100,182,0,2.0
224,United,CHS,32.885193,-80.03694,EWR,40.69297,-74.17799,ZZZ,40,-100,194,0,2.0
225,United,CHS,32.885193,-80.03694,EWR,40.69297,-74.17799,ORD,41.97707,-87.901184,202,1,7.83
226,American Airlines,CHS,32.885193,-80.03694,EWR,40.69297,-74.17799,CLT,35.220448,-80.94377,222,1,6.82
227,United,CHS,32.885193,-80.03694,EWR,40.69297,-74.17799,ZZZ,40,-100,243,0,2.0
228,United,CHS,32.885193,-80.03694,EWR,40.69297,-74.17799,IAD,38.95216,-77.44883,251,1,4.08
229,United,CHS,32.885193,-80.03694,EWR,40.69297,-74.17799,ORD,41.97707,-87.901184,276,1,5.07
230,United,CHS,32.885193,-80.03694,EWR,40.69297,-74.17799,ORD,41.97707,-87.901184,276,1,6.42
231,American Airlines,CHS,32.885193,-80.03694,EWR,40.69297,-74.17799,CLT,35.220448,-80.94377,294,1,3.85
