,Unnamed: 0,airline,departure,destination,layover,price,stops,travelTime,airlineCode,departureCode,destinationCode,layoverCode
181,181,United,CHS,DEN,IAD,517,1,6.13,24.0,67.0,67.0,10.0
182,182,Delta,CHS,DEN,ATL,597,1,6.75,81.0,67.0,67.0,45.0
183,183,Delta,CHS,ATL,ZZZ,179,0,1.15,81.0,67.0,45.0,73.0
184,184,Delta,CHS,ATL,ZZZ,179,0,1.18,81.0,67.0,45.0,73.0
185,185,Delta,CHS,ATL,ZZZ,179,0,1.2,81.0,67.0,45.0,73.0
186,186,Delta,CHS,ATL,ZZZ,179,0,1.2,81.0,67.0,45.0,73.0
187,187,Delta,CHS,ATL,ZZZ,179,0,1.22,81.0,67.0,45.0,73.0
188,188,Delta,CHS,ATL,ZZZ,179,0,1.33,81.0,67.0,45.0,73.0
189,189,Delta,CHS,ATL,ZZZ,179,0,1.33,81.0,67.0,45.0,73.0
190,190,Delta,CHS,ATL,ZZZ,179,0,1.4,81.0,67.0,45.0,73.0
191,191,Delta,CHS,ATL,ZZZ,179,0,1.42,81.0,67.0,45.0,73.0
192,192,American Airlines,CHS,ATL,CLT,186,1,3.23,61.0,67.0,45.0,75.0
193,193,American Airlines,CHS,ATL,CLT,186,1,3.77,61.0,67.0,45.0,75.0
194,194,American Airlines,CHS,ATL,CLT,186,1,4.35,61.0,67.0,45.0,75.0
195,195,American Airlines,CHS,ATL,CLT,186,1,4.7,61.0,67.0,45.0,75.0
196,196,American Airlines,CHS,ATL,CLT,186,1,5.47,61.0,67.0,45.0,75.0
197,197,American Airlines,CHS,ATL,CLT,186,1,5.6,61.0,67.0,45.0,75.0
198,198,American Airlines,CHS,ATL,CLT,186,1,6.05,61.0,67.0,45.0,75.0
199,199,United,CHS,ATL,ORD,214,1,7.57,24.0,67.0,45.0,71.0
200,200,American Airlines,CHS,ATL,CLT,224,1,3.6,61.0,67.0,45.0,75.0
201,201,American Airlines,CHS,ATL,CLT,224,1,5.1,61.0,67.0,45.0,75.0
202,202,American Airlines,CHS,ATL,CLT,224,1,5.27,61.0,67.0,45.0,75.0
203,203,JetBlue Airways,CHS,ATL,FLL,232,1,8.05,50.0,67.0,45.0,77.0
204,204,Delta,CHS,ATL,ZZZ,259,0,1.3,81.0,67.0,45.0,73.0
205,205,Delta,CHS,ATL,ZZZ,259,0,1.3,81.0,67.0,45.0,73.0
206,206,United,CHS,ATL,IAH,269,1,5.97,24.0,67.0,45.0,5.0
207,207,United,CHS,ATL,IAD,272,1,4.23,24.0,67.0,45.0,10.0
208,208,American Airlines,CHS,ATL,CLT,278,1,4.17,61.0,67.0,45.0,75.0
209,209,American Airlines,CHS,ATL,CLT,278,1,4.55,61.0,67.0,45.0,75.0
210,210,American Airlines,CHS,ATL,CLT,278,1,6.05,61.0,67.0,45.0,75.0
211,211,United,CHS,ATL,IAD,287,1,4.12,24.0,67.0,45.0,10.0
212,212,JetBlue Airways,CHS,ATL,JFK,296,1,7.03,50.0,67.0,45.0,52.0
213,213,JetBlue Airways,CHS,ATL,BOS,320,1,10.55,50.0,67.0,45.0,21.0
214,214,JetBlue Airways,CHS,ATL,BOS,320,1,11.85,50.0,67.0,45.0,21.0
215,215,United,CHS,ATL,EWR,342,1,9.73,24.0,67.0,45.0,39.0
216,216,American Airlines,CHS,ATL,CLT,355,1,4.9,61.0,67.0,45.0,75.0
217,217,American Airlines,CHS,ATL,CLT,355,1,6.52,61.0,67.0,45.0,75.0
218,218,JetBlue Airways,CHS,ATL,BOS,382,1,7.17,50.0,67.0,45.0,21.0
219,219,United,CHS,ATL,IAH,388,1,7.78,24.0,67.0,45.0,5.0
220,220,JetBlue Airways,CHS,ATL,JFK,416,1,5.27,50.0,67.0,45.0,52.0
221,221,United,CHS,ATL,IAH,428,1,5.83,24.0,67.0,45.0,5.0
222,222,American Airlines,CHS,ATL,CLT,506,1,3.67,61.0,67.0,45.0,75.0
223,223,United,CHS,EWR,ZZZ,182,0,2.0,24.0,67.0,39.0,73.0
224,224,United,CHS,EWR,ZZZ,194,0,2.0,24.0,67.0,39.0,73.0
225,225,United,CHS,EWR,ORD,202,1,7.83,24.0,67.0,39.0,71.0
226,226,American Airlines,CHS,EWR,CLT,222,1,6.82,61.0,67.0,39.0,75.0
227,227,United,CHS,EWR,ZZZ,243,0,2.0,24.0,67.0,39.0,73.0
228,228,United,CHS,EWR,IAD,251,1,4.08,24.0,67.0,39.0,10.0
229,229,United,CHS,EWR,ORD,276,1,5.07,24.0,67.0,39.0,71.0
230,230,United,CHS,EWR,ORD,276,1,6.42,24.0,67.0,39.0,71.0
231,231,American Airlines,CHS,EWR,CLT,294,1,3.85,61.0,67.0,39.0,75.0
232,232,American Airlines,CHS,EWR,CLT,294,1,3.87,61.0,67.0,39.0,75.0
233,233,American Airlines,CHS,EWR,CLT,294,1,4.23,61.0,67.0,39.0,75.0
234,234,American Airlines,CHS,EWR,CLT,294,1,4.75,61.0,67.0,39.0,75.0
235,235,American Airlines,CHS,EWR,CLT,294,1,4.87,61.0,67.0,39.0,75.0
236,236,American Airlines,CHS,EWR,CLT,294,1,4.98,61.0,67.0,39.0,75.0
237,237,American Airlines,CHS,EWR,CLT,294,1,5.35,61.0,67.0,39.0,75.0
238,238,American Airlines,CHS,EWR,CLT,294,1,5.63,61.0,67.0,39.0,75.0
239,239,American Airlines,CHS,EWR,CLT,294,1,6.45,61.0,67.0,39.0,75.0
240,240,United,CHS,EWR,IAD,295,1,3.72,24.0,67.0,39.0,10.0
241,241,United,CHS,EWR,IAD,295,1,3.9,24.0,67.0,39.0,10.0
242,242,United,CHS,EWR,IAD,295,1,4.17,24.0,67.0,39.0,10.0
243,243,Delta,CHS,EWR,ATL,295,1,4.47,81.0,67.0,39.0,45.0
244,244,Delta,CHS,EWR,ATL,295,1,5.47,81.0,67.0,39.0,45.0
245,245,Delta,CHS,EWR,ATL,295,1,6.55,81.0,67.0,39.0,45.0
246,246,Delta,CHS,EWR,ATL,295,1,7.0,81.0,67.0,39.0,45.0
